,user,time,isOutlier,randX,popoutColor,randY,backgroundColor,selection,__collections__
AaRY19I072731WHEAGt9,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952185, '_nanoseconds': 65000000}}",false,93.4600261139178,152,298.5702068487706,131,False,{}
Afhr97BJ9uG0zdTl6VOa,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952240, '_nanoseconds': 365000000}}",false,1249.9987721274733,134,491.70636666990004,133,True,{}
AivefIjLgwZ1AV2nl6wo,94Pv6B5YsLJyX1NN0TXw,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581952124, '_nanoseconds': 901000000}}",false,492.73125756936156,134,801.2457740131167,174,True,{}
AkeqWa91mtYHUrOFjaWz,N9zhdB4dFq6g993Lu7gm,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581889781, '_nanoseconds': 163000000}}",true,743.2462193120512,134,794.0626474423914,171,True,{}
Aod4Uw6M8MakoK7DI0P3,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886177, '_nanoseconds': 300000000}}",false,308.8309502773617,163,473.08405286804003,154,False,{}
B2ROFLmbVOdBx0fStekW,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886680, '_nanoseconds': 35000000}}",true,144.22641906631742,177,209.42071524030172,124,True,{}
BEnf9dLicK1e2xcZAnCu,Nj7MIbWMyAvVci8khUBK,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886084, '_nanoseconds': 588000000}}",false,479.8440660979278,164,284.7186201404008,170,False,{}
BNE3HrrszI7qpfnnKxsz,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886602, '_nanoseconds': 477000000}}",false,499.9461769974935,148,395.9316688727283,172,True,{}
BNfBTOg5RGw4LCxB163n,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886726, '_nanoseconds': 367000000}}",true,131.99388539424962,135,978.4909335736054,176,True,{}
BPzoLTk1ZXvyuZbFf2Tj,uQ4LQf15bn8hVZPtR4CJ,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886746, '_nanoseconds': 886000000}}",false,1409.789903968229,142,17.832999233526014,121,False,{}
BQu8ika1pONGBfxF1yyR,6kuNanOynuoMYr848UZt,"{'__datatype__': 'timestamp', 'value': {'_seconds': 1581886691, '_nanoseconds': 764000000}}",true,69.34346538999651,121,1283.2883065430037,152,True,{}
